Date,Posted Date,Symbol,Description,Transaction Type,Amount,Units,Unit Type,Unit Price,Security Id,Security Id Type
"Sep 30, 2025","Sep 29, 2025",DES,Dividend of 97717W604 $0.09 received.,DIVIDEND,$0.09,--,CURRENCY,--,97717W604,CUSIP
"Sep 30, 2025","Sep 29, 2025",SCHD,Dividend of 808524797 $0.11 received.,DIVIDEND,$0.11,--,CURRENCY,--,808524797,CUSIP
"Sep 27, 2025","Sep 26, 2025",PCY,Dividend of 46138E784 $0.2 received.,DIVIDEND,$0.20,--,CURRENCY,--,46138E784,CUSIP
"Sep 25, 2025","Sep 25, 2025",VTI,0.05462 shares of VTI purchased.,PURCHASED,$17.68,0.05462,SHARES,$323.72,922908769,CUSIP
"Sep 25, 2025","Sep 25, 2025",QQQM,0.00863 shares of QQQM purchased.,PURCHASED,$2.09,0.00863,SHARES,$242.38,46138G649,CUSIP
"Sep 26, 2025","Sep 25, 2025",AVUV,Dividend of 025072877 $0.24 received.,DIVIDEND,$0.24,--,CURRENCY,--,025072877,CUSIP
"Sep 24, 2025","Sep 24, 2025",,ACH deposit of $15 completed.,TRANSFER,$15.00,--,CURRENCY,--,,
"Sep 24, 2025","Sep 24, 2025",DES,0.11237 shares of DES purchased.,PURCHASED,$3.84,0.11237,SHARES,$34.18,97717W604,CUSIP
"Sep 24, 2025","Sep 24, 2025",VTI,0.32593 shares of VTI purchased.,PURCHASED,$107.06,0.32593,SHARES,$328.48,922908769,CUSIP
"Sep 24, 2025","Sep 24, 2025",VXUS,0.7044 shares of VXUS sold.,SOLD,-$51.51,-0.7044,SHARES,$73.14,921909768,CUSIP
"Sep 24, 2025","Sep 24, 2025",SMH,0.00605 shares of SMH sold.,SOLD,-$1.93,-0.00605,SHARES,$320.46,92189F676,CUSIP
"Sep 24, 2025","Sep 24, 2025",SCHD,0.59355 shares of SCHD purchased.,PURCHASED,$16.18,0.59355,SHARES,$27.26,808524797,CUSIP
"Sep 24, 2025","Sep 24, 2025",XBI,0.01943 shares of XBI sold.,SOLD,-$1.89,-0.01943,SHARES,$97.84,78464A870,CUSIP
