Symbol,Name,Quantity,Avg. Price,Cost Basis,Unrealized Gain ($),Unrealized Gain (%),Value
VTI,Vanguard Total Stock Market ETF,1.09977,327.78,360.48,1.12,0.31,361.60
QQQM,Invesco NASDAQ 100 ETF,0.21698,246.43,53.47,0.14,0.26,53.61
AVUV,Avantis U.S. Small Cap Value ETF,0.51435,100.11,51.49,0.08,0.16,51.57
VXUS,Vanguard Total International Stock ETF,0.7044,73.10,51.49,0.07,0.14,51.56
DES,WisdomTree U.S. SmallCap Dividend Fund,0.59057,33.92,20.03,0,0,20.03
SCHD,Schwab U.S. Dividend Equity ETF,0.44058,27.26,12.01,0.01,0.08,12.02
JEPI,JPMorgan Equity Premium Income ETF,0.141,56.81,8.01,0.01,0.12,8.02
GNOM,Global X Genomics & Biotechnology ETF,0.05128,37.44,1.92,0.03,1.56,1.95
MJ,ETFMG Alternative Harvest ETF,0.05999,32.01,1.92,0.01,0.52,1.93
SMH,VanEck Vectors Semiconductor ETF,0.00605,317.36,1.92,0.01,0.52,1.93
XT,iShares Exponential Technologies ETF,0.02685,71.51,1.92,0.01,0.52,1.93
MSOS,AdvisorShares Pure US Cannabis ETF,0.41915,4.44,1.86,0.03,1.61,1.89
XBI,SPDR S&P Biotech ETF,0.01943,95.73,1.86,0.03,1.61,1.89
YOLO,AdvisorShares Pure Cannabis ETF,0.57952,3.21,1.86,0.03,1.61,1.89
IBB,iShares NASDAQ Biotechnology ETF,0.01306,142.42,1.86,0.02,1.08,1.88
