id,date,fund,money_source,activity,units,unit_price,amount,source_type,source_id,plaid_transaction_id,plaid_account_id,transaction_hash,fuzzy_hash,enhanced_hash,hash_data,imported_at,last_updated_at,metadata,created_at,updated_at
097b8d78-ae60-44a7-9f0d-8b93c38b05a8,2025-09-24,AVUV,She Roth on that thing til i IRA,Sell,-0.51435000,100.78160000,-51.83,plaid,ZkqxMxxyKrtkQADZ1KvqtbV1PEeQ8AHR9e3y7,aavgNggD4QuNA1Kpk4qQup9mqRP0E6t98jL8K,,71c77c82,2c906050,4082a3bf,"{""fuzzy"":""2025-09-24|-51.83|avuv"",""primary"":""2025-09-24|-51.83|avuv|sell"",""enhanced"":""2025-09-24|-51.83|avuv|-0.51435|""}",2025-09-29 21:46:50.941+00,2025-09-29 21:46:50.941+00,{},2025-09-29 21:46:51.212577+00,2025-09-29 21:46:51.212577+00
0af9e347-cae0-4e89-83ce-36a4e200796b,2025-09-24,DES,She Roth on that thing til i IRA,Buy,0.11237000,34.17550000,3.84,plaid,ZkqxMxxyKrtkQADZ1KvqtbV1PEeQ8AHR9e3y7,qQVN0NNoR9uPnbqO6wd8t1K8Xa0E3zTBbNwbg,,3aa33f39,302c122f,67e83df1,"{""fuzzy"":""2025-09-24|3.84|des"",""primary"":""2025-09-24|3.84|des|buy"",""enhanced"":""2025-09-24|3.84|des|0.11237|""}",2025-09-29 21:46:49.598+00,2025-09-29 21:46:49.598+00,{},2025-09-29 21:46:49.860871+00,2025-09-29 21:46:49.860871+00
116959ce-98cb-43ea-9e6b-b201a168ef5a,2025-09-22,SMH,She Roth on that thing til i IRA,Buy,0.00605000,317.61740000,1.92,plaid,ZkqxMxxyKrtkQADZ1KvqtbV1PEeQ8AHR9e3y7,94krNrrJaEtQDxVLo8a6IzL0kXDanNFkAX5Az,,59ce2f96,796fb90c,5b04d58f,"{""fuzzy"":""2025-09-22|1.92|smh"",""primary"":""2025-09-22|1.92|smh|buy"",""enhanced"":""2025-09-22|1.92|smh|0.00605|""}",2025-09-29 21:46:51.84+00,2025-09-29 21:46:51.84+00,{},2025-09-29 21:46:52.449619+00,2025-09-29 21:46:52.449619+00
14ff94c3-b216-4159-ad0b-c8197550e6be,2025-09-22,SCHB,She Roth on that thing til i IRA,Sell,-9.00000000,25.67010000,-231.02,plaid,ZkqxMxxyKrtkQADZ1KvqtbV1PEeQ8AHR9e3y7,EV59K990OQfvb3P74pYQsxK7w63N1MHJg6j3k,,7784c9af,5e27f59d,7802ed71,"{""fuzzy"":""2025-09-22|-231.02|schb"",""primary"":""2025-09-22|-231.02|schb|sell"",""enhanced"":""2025-09-22|-231.02|schb|-9|""}",2025-09-29 21:46:52.622+00,2025-09-29 21:46:52.622+00,{},2025-09-29 21:46:52.872858+00,2025-09-29 21:46:52.872858+00
344ef856-18b6-42d1-8f40-02c4f241aa25,2025-09-22,DES,She Roth on that thing til i IRA,Buy,0.59057000,33.91690000,20.03,plaid,ZkqxMxxyKrtkQADZ1KvqtbV1PEeQ8AHR9e3y7,oE7QAQQnMaSDR81oMa6OUYaOJPMz7gUo8JY8y,,d34880f,34c0c9fb,26abb7dd,"{""fuzzy"":""2025-09-22|20.03|des"",""primary"":""2025-09-22|20.03|des|buy"",""enhanced"":""2025-09-22|20.03|des|0.59057|""}",2025-09-29 21:46:51.392+00,2025-09-29 21:46:51.392+00,{},2025-09-29 21:46:51.653289+00,2025-09-29 21:46:51.653289+00
35d05f59-5a0d-4564-9817-7cfb9996f7a6,2025-09-22,VXUS,She Roth on that thing til i IRA,Buy,0.70440000,73.09860000,51.49,plaid,ZkqxMxxyKrtkQADZ1KvqtbV1PEeQ8AHR9e3y7,7jy0p00RrEIZJa0nX3rds1aXAwjpzdTDy37yR,,78a64473,14593b97,5772474e,"{""fuzzy"":""2025-09-22|51.49|vxus"",""primary"":""2025-09-22|51.49|vxus|buy"",""enhanced"":""2025-09-22|51.49|vxus|0.7044|""}",2025-09-29 21:46:51.733+00,2025-09-29 21:46:51.733+00,{},2025-09-29 21:46:51.991007+00,2025-09-29 21:46:51.991007+00
38366d7a-9e05-4ab6-9f7d-111750f22baf,2025-09-24,VXUS,She Roth on that thing til i IRA,Sell,-0.70440000,73.14080000,-51.51,plaid,ZkqxMxxyKrtkQADZ1KvqtbV1PEeQ8AHR9e3y7,3kPKEKK0AztOq1KxwdAyUprPQzdAxkt79D694,,419b18d5,75826f67,6dd49b85,"{""fuzzy"":""2025-09-24|-51.51|vxus"",""primary"":""2025-09-24|-51.51|vxus|sell"",""enhanced"":""2025-09-24|-51.51|vxus|-0.7044|""}",2025-09-29 21:46:49.831+00,2025-09-29 21:46:49.831+00,{},2025-09-29 21:46:50.100936+00,2025-09-29 21:46:50.100936+00
4b3afcc9-c66d-44d3-ac9c-c025d60ce790,2025-09-24,YOLO,She Roth on that thing til i IRA,Sell,-0.57952000,3.18000000,-1.83,plaid,ZkqxMxxyKrtkQADZ1KvqtbV1PEeQ8AHR9e3y7,xLpQ8QQmdZIAoevw3Nq7UDK79Lz6a5UJeRNeK,,4303d75c,221b99b2,6ef89d29,"{""fuzzy"":""2025-09-24|-1.83|yolo"",""primary"":""2025-09-24|-1.83|yolo|sell"",""enhanced"":""2025-09-24|-1.83|yolo|-0.57952|""}",2025-09-29 21:46:51.057+00,2025-09-29 21:46:51.057+00,{},2025-09-29 21:46:51.334881+00,2025-09-29 21:46:51.334881+00
4bdecbf5-70ac-4657-a733-480176823f29,2025-09-22,MSOS,She Roth on that thing til i IRA,Buy,0.41915000,4.43760000,1.86,plaid,ZkqxMxxyKrtkQADZ1KvqtbV1PEeQ8AHR9e3y7,94krNrrJaEtQDxVLo8a6IzL0kXDanNFkAX5YA,,a2a31af,798e12b9,f0d0e8f,"{""fuzzy"":""2025-09-22|1.86|msos"",""primary"":""2025-09-22|1.86|msos|buy"",""enhanced"":""2025-09-22|1.86|msos|0.41915|""}",2025-09-29 21:46:53.743+00,2025-09-29 21:46:53.743+00,{},2025-09-29 21:46:53.964359+00,2025-09-29 21:46:53.964359+00
57c73079-b91e-4989-bfa3-063ce2c85331,2025-09-22,XBI,She Roth on that thing til i IRA,Buy,0.01943000,95.77000000,1.86,plaid,ZkqxMxxyKrtkQADZ1KvqtbV1PEeQ8AHR9e3y7,RDpk5kkbL3IDZ1aXoL8jUe4DN6yP7ZC4OVJNr,,53a19494,77f34fe2,3d9e12dd,"{""fuzzy"":""2025-09-22|1.86|xbi"",""primary"":""2025-09-22|1.86|xbi|buy"",""enhanced"":""2025-09-22|1.86|xbi|0.01943|""}",2025-09-29 21:46:52.728+00,2025-09-29 21:46:52.728+00,{},2025-09-29 21:46:52.964771+00,2025-09-29 21:46:52.964771+00
5a1d0564-572b-41ae-a701-87082175f6f5,2025-09-25,QQQM,She Roth on that thing til i IRA,Buy,0.00863000,242.37920000,2.09,plaid,ZkqxMxxyKrtkQADZ1KvqtbV1PEeQ8AHR9e3y7,D9Z7y77OVDI8e51pX0OAs8badYQNVJIV8Yj8b,,606f321c,3752ee92,60a08a31,"{""fuzzy"":""2025-09-25|2.09|qqqm"",""primary"":""2025-09-25|2.09|qqqm|buy"",""enhanced"":""2025-09-25|2.09|qqqm|0.00863|""}",2025-09-29 21:46:49.507+00,2025-09-29 21:46:49.507+00,{},2025-09-29 21:46:49.770644+00,2025-09-29 21:46:49.770644+00
5b7beae5-ad35-4d64-9c63-fcb46eacb703,2025-09-22,SCHH,She Roth on that thing til i IRA,Sell,-3.00000000,21.30020000,-63.89,plaid,ZkqxMxxyKrtkQADZ1KvqtbV1PEeQ8AHR9e3y7,VBLj7jjMqPUBY3mZwq5LI4XB9vQP6MCXROZRL,,70737435,76a19be3,2cec0003,"{""fuzzy"":""2025-09-22|-63.89|schh"",""primary"":""2025-09-22|-63.89|schh|sell"",""enhanced"":""2025-09-22|-63.89|schh|-3|""}",2025-09-29 21:46:52.295+00,2025-09-29 21:46:52.295+00,{},2025-09-29 21:46:52.542935+00,2025-09-29 21:46:52.542935+00
5e66b49d-80b2-4a75-8692-297ddec1a409,2025-09-22,XT,She Roth on that thing til i IRA,Buy,0.02685000,71.49760000,1.92,plaid,ZkqxMxxyKrtkQADZ1KvqtbV1PEeQ8AHR9e3y7,nMgQkQQXOqhLg7a1EON6tO0y7JNxp8C0rQODd,,46bb6ef8,14db5c82,7e07d867,"{""fuzzy"":""2025-09-22|1.92|xt"",""primary"":""2025-09-22|1.92|xt|buy"",""enhanced"":""2025-09-22|1.92|xt|0.02685|""}",2025-09-29 21:46:52.944+00,2025-09-29 21:46:52.944+00,{},2025-09-29 21:46:53.185615+00,2025-09-29 21:46:53.185615+00
6a48e55c-0396-47ab-bf6b-8bf8e98168ab,2025-09-22,AVUV,She Roth on that thing til i IRA,Buy,0.51435000,100.10810000,51.49,plaid,ZkqxMxxyKrtkQADZ1KvqtbV1PEeQ8AHR9e3y7,goxQ1QQk5KcoqDYM458dt83LerZDR4I3gXdo7,,767499d7,1462cee1,5d78c803,"{""fuzzy"":""2025-09-22|51.49|avuv"",""primary"":""2025-09-22|51.49|avuv|buy"",""enhanced"":""2025-09-22|51.49|avuv|0.51435|""}",2025-09-29 21:46:53.534+00,2025-09-29 21:46:53.534+00,{},2025-09-29 21:46:53.764409+00,2025-09-29 21:46:53.764409+00
73a3a565-ce20-40bd-8329-0b595fcc547b,2025-09-22,MJ,She Roth on that thing til i IRA,Buy,0.05999000,32.00070000,1.92,plaid,ZkqxMxxyKrtkQADZ1KvqtbV1PEeQ8AHR9e3y7,bx07d77oaPCxybmgzaj4TJg8VZNKo1Cgp6B0Q,,5a0da8d7,14db5de1,727e993d,"{""fuzzy"":""2025-09-22|1.92|mj"",""primary"":""2025-09-22|1.92|mj|buy"",""enhanced"":""2025-09-22|1.92|mj|0.05999|""}",2025-09-29 21:46:53.431+00,2025-09-29 21:46:53.431+00,{},2025-09-29 21:46:53.658782+00,2025-09-29 21:46:53.658782+00
77b5f419-cd71-4297-970a-9993404468ae,2025-09-22,YOLO,She Roth on that thing til i IRA,Buy,0.57952000,3.20950000,1.86,plaid,ZkqxMxxyKrtkQADZ1KvqtbV1PEeQ8AHR9e3y7,7jy0p00RrEIZJa0nX3rds1aXAwjpzdTDy37vm,,48bec20,7988adaa,6f5fa154,"{""fuzzy"":""2025-09-22|1.86|yolo"",""primary"":""2025-09-22|1.86|yolo|buy"",""enhanced"":""2025-09-22|1.86|yolo|0.57952|""}",2025-09-29 21:46:53.65+00,2025-09-29 21:46:53.65+00,{},2025-09-29 21:46:53.876006+00,2025-09-29 21:46:53.876006+00
7a4f1c74-a3d9-4115-ab04-423456554d11,2025-09-22,VWO,She Roth on that thing til i IRA,Sell,-2.00000000,53.95110000,-107.89,plaid,ZkqxMxxyKrtkQADZ1KvqtbV1PEeQ8AHR9e3y7,goxQ1QQk5KcoqDYM458dt83LerZDR4I3gXdgm,,343acca4,7b0f424e,1b05dd3,"{""fuzzy"":""2025-09-22|-107.89|vwo"",""primary"":""2025-09-22|-107.89|vwo|sell"",""enhanced"":""2025-09-22|-107.89|vwo|-2|""}",2025-09-29 21:46:51.583+00,2025-09-29 21:46:51.583+00,{},2025-09-29 21:46:51.898432+00,2025-09-29 21:46:51.898432+00
7f844b1e-0c4d-44be-8b91-cf37e188b5c5,2025-09-24,VTI,She Roth on that thing til i IRA,Buy,0.32593000,328.47710000,107.06,plaid,ZkqxMxxyKrtkQADZ1KvqtbV1PEeQ8AHR9e3y7,BgJbBbb370fPZ1njE4LKtMDJBjK9OLHdA4yA0,,6f9ff1b7,140e4c53,767959e7,"{""fuzzy"":""2025-09-24|107.06|vti"",""primary"":""2025-09-24|107.06|vti|buy"",""enhanced"":""2025-09-24|107.06|vti|0.32593|""}",2025-09-29 21:46:49.708+00,2025-09-29 21:46:49.709+00,{},2025-09-29 21:46:49.976414+00,2025-09-29 21:46:49.976414+00
87a9db61-fef5-4c59-9cb4-725feae35e61,2025-09-24,XBI,She Roth on that thing til i IRA,Sell,-0.01943000,97.84080000,-1.89,plaid,ZkqxMxxyKrtkQADZ1KvqtbV1PEeQ8AHR9e3y7,k95Q3QQg7oIzPx5w876jcz3QYe4KnqF3q9Lqk,,4f97a0be,7a70c5f4,6211b6c0,"{""fuzzy"":""2025-09-24|-1.89|xbi"",""primary"":""2025-09-24|-1.89|xbi|sell"",""enhanced"":""2025-09-24|-1.89|xbi|-0.01943|""}",2025-09-29 21:46:50.199+00,2025-09-29 21:46:50.199+00,{},2025-09-29 21:46:50.471767+00,2025-09-29 21:46:50.471767+00
920d84b5-992b-4ac4-9d98-42ad3310069c,2025-09-22,GNOM,She Roth on that thing til i IRA,Buy,0.05128000,37.43590000,1.92,plaid,ZkqxMxxyKrtkQADZ1KvqtbV1PEeQ8AHR9e3y7,oE7QAQQnMaSDR81oMa6OUYaOJPMz7gUo8JYXv,,4179fa11,4b7e06f9,b4f977d,"{""fuzzy"":""2025-09-22|1.92|gnom"",""primary"":""2025-09-22|1.92|gnom|buy"",""enhanced"":""2025-09-22|1.92|gnom|0.05128|""}",2025-09-29 21:46:53.33+00,2025-09-29 21:46:53.33+00,{},2025-09-29 21:46:53.556007+00,2025-09-29 21:46:53.556007+00
9546dd3e-30df-4085-bbcd-607ee78c816a,2025-09-24,GNOM,She Roth on that thing til i IRA,Sell,-0.05128000,38.17600000,-1.95,plaid,ZkqxMxxyKrtkQADZ1KvqtbV1PEeQ8AHR9e3y7,rnOYjYYXQBUqObX0Lxn8H6rQgJq907UavZxvB,,3b16e7d1,5a63541d,68b189ca,"{""fuzzy"":""2025-09-24|-1.95|gnom"",""primary"":""2025-09-24|-1.95|gnom|sell"",""enhanced"":""2025-09-24|-1.95|gnom|-0.05128|""}",2025-09-29 21:46:50.726+00,2025-09-29 21:46:50.726+00,{},2025-09-29 21:46:50.999643+00,2025-09-29 21:46:50.999643+00
9c1c151a-9aa2-425f-a9cc-c672ed13a924,2025-09-24,MSOS,She Roth on that thing til i IRA,Sell,-0.41915000,4.42130000,-1.84,plaid,ZkqxMxxyKrtkQADZ1KvqtbV1PEeQ8AHR9e3y7,JQ9DjDDynZuK419nJdxyf38aPZqOdptXY9rYX,,29be1dcc,23cb0d42,23309793,"{""fuzzy"":""2025-09-24|-1.84|msos"",""primary"":""2025-09-24|-1.84|msos|sell"",""enhanced"":""2025-09-24|-1.84|msos|-0.41915|""}",2025-09-29 21:46:51.157+00,2025-09-29 21:46:51.157+00,{},2025-09-29 21:46:51.428717+00,2025-09-29 21:46:51.428717+00
